area,price,title,community,link,time,Latitude,model
73平,4500,上门实拍，交通方便，有爱有家，采光棒,高境一村,/zufang/shz4125767.html,2017.07.30上架,"[u'121.488126', u'31.325868']",2室1厅
34平,3500,实地看房，看房有钥匙，高清实拍，链家好房,辽源三村,/zufang/shz4125663.html,2017.07.30上架,"[u'121.5187784', u'31.2771017']",1室0厅
105平,4200,盘古天地，好楼层，享受好房，钥匙在链家,盘古天地,/zufang/shz4125640.html,2017.07.30上架,"[u'121.253331', u'31.344319']",2室2厅
42平,6800,金桂小区，生活很便利，多次带看，有钥匙房源,金桂小区,/zufang/shz4125495.html,2017.07.30上架,"[u'121.5564311', u'31.21352868']",1室1厅
31平,3300,附近有地铁，有爱有家，上下楼方便，钥匙房,德州四村,/zufang/shz4125368.html,2017.07.29上架,"[u'121.492301', u'31.175519']",1室0厅
46平,4700,明月坊，实地看房，链家好房，钥匙在链家,明月坊,/zufang/shz4125278.html,2017.07.29上架,"[u'121.5447286', u'31.27502052']",1室1厅
53平,4500,生活很便利，受欢迎好房，2室1厅，有钥匙方便看,洛阳新村,/zufang/shz4124846.html,2017.07.29上架,"[u'121.4871699', u'31.29071451']",2室1厅
32平,3500,控江路1200弄，附近有地铁，高清实拍，温馨一室,控江路1200弄,/zufang/shz4124760.html,2017.07.29上架,"[u'121.533023', u'31.284686']",1室0厅
42平,3500,微山新村，高区阳光房，小户型，链家房源,微山新村,/zufang/shz4124752.html,2017.07.29上架,"[u'121.5228465', u'31.2158392']",1室2厅
68平,4700,金桥湾清水苑，2室1厅1卫，采光棒，最近看房多,金桥湾清水苑,/zufang/shz4124626.html,2017.07.29上架,"[u'121.5998803', u'31.26590419']",2室1厅
72平,7000,空气清新，附近有地铁，温馨之家，钥匙在店,中远两湾城,/zufang/shz4124551.html,2017.07.29上架,"[u'121.451405', u'31.259226']",1室2厅
54平,5800,黄家小区，地铁沿线，受欢迎好房，2室1厅,黄家小区,/zufang/shz4123763.html,2017.07.29上架,"[u'121.503448', u'31.221546']",2室1厅
34平,5000,钥匙在链家，人气房源，有爱有家，光线非常好,康健路100弄,/zufang/shz4123372.html,2017.07.29上架,"[u'121.433926', u'31.17169827']",1室1厅
53平,4500,新领地，附近有地铁，一室小户型，钥匙在店,新领地,/zufang/shz4122870.html,2017.07.28上架,"[u'121.556841', u'31.209192']",1室1厅
27平,4500,低区出入方便，高清大图，钥匙在链家，交通便利,梅园三街坊,/zufang/shz4122861.html,2017.07.28上架,"[u'121.5305678', u'31.23972158']",1室1厅
67平,16000,看房有钥匙，最近看房多，出行方便，高清实拍,艾格美国际公寓,/zufang/shz4122858.html,2017.07.28上架,"[u'121.470024', u'31.232325']",1室1厅
110平,14000,一链倾城，精致户型，有钥匙方便看，实地看房,永新花苑,/zufang/shz4122538.html,2017.07.28上架,"[u'121.449225', u'31.199543']",2室2厅
42平,3800,青春驿站，附近有地铁，看房客户多，好房待租,青春驿站,/zufang/shz4122425.html,2017.07.28上架,"[u'121.3215882', u'31.14254421']",1室1厅
80平,8559,电影华苑，钥匙房，一室小户型，链家好房,电影华苑,/zufang/shz4122418.html,2017.07.28上架,"[u'121.446043', u'31.189901']",1室1厅
93平,7800,看房方便，南北通，看房客户多，适合自住,绿色丽园,/zufang/shz4121529.html,2017.07.28上架,"[u'121.455101', u'31.280485']",2室1厅
70平,6700,银鑫大楼，精致户型，空气清新，链家房源,银鑫大楼,/zufang/shz4121216.html,2017.07.28上架,"[u'121.432365', u'31.232266']",2室1厅
42平,3300,奎照路411弄，视野很好，放心好房，近地铁,奎照路411弄,/zufang/shz4121187.html,2017.07.28上架,"[u'121.4844119', u'31.30580622']",1室1厅
35平,3300,南泉小区，闹中取静，链家房源，链家有钥匙,南泉小区,/zufang/shz4121105.html,2017.07.27上架,"[u'121.5292505', u'31.21939613']",1室1厅
36平,4300,附近有地铁，小户型，上门实勘，有钥匙,潍坊五村,/zufang/shz4120855.html,2017.07.27上架,"[u'121.530556', u'31.226228']",1室0厅
47平,5300,田林四村，空气清新，多次带看，看房方便,田林四村,/zufang/shz4120642.html,2017.07.27上架,"[u'121.429482', u'31.176926']",2室0厅
109平,10000,视野开阔，钥匙房，交通便利，多次带看,中远两湾城,/zufang/shz4120590.html,2017.07.27上架,"[u'121.451405', u'31.259226']",2室2厅
41平,3500,粤秀苑，高清大图，上下楼方便，1室1厅1卫,粤秀苑,/zufang/shz4120434.html,2017.07.27上架,"[u'121.465926', u'31.295009']",1室1厅
55平,3500,嘉屯苑，上门实拍，1室1厅1卫，一链倾城,嘉屯苑,/zufang/shz4120320.html,2017.07.30上架,"[u'121.5858964', u'31.29023928']",1室1厅
85平,5500,大华二村，看房客户多，适合自住，如您所见,大华二村,/zufang/shz4120214.html,2017.07.27上架,"[u'121.422363', u'31.278963']",2室1厅
42平,3500,淞南三村，实地看房，1室1厅，出行方便,淞南三村,/zufang/shz4119891.html,2017.07.27上架,"[u'121.497694', u'31.34971']",1室1厅
40平,3200,有钥匙房源，实地看房，地铁沿线，一链倾城,泰山二村,/zufang/shz4119170.html,2017.07.27上架,"[u'121.452261', u'31.266325']",1室1厅
32平,3500,密云路471弄，一室小户型，看房方便，生活很便利,密云路471弄,/zufang/shz4119168.html,2017.07.27上架,"[u'121.5020471', u'31.28878984']",1室0厅
